YEAR,DOY,Hour,Kp index,R (Sunspot No.),"Dst-index, nT","ap_index, nT",f10.7_index
2021,1,0,0,24,-1,0,77.7
2021,1,1,0,24,-2,0,77.7
2021,1,2,0,24,-2,0,77.7
2021,1,3,3,24,-4,2,77.7
2021,1,4,3,24,-4,2,77.7
2021,1,5,3,24,-4,2,77.7
2021,1,6,7,24,-6,3,77.7
2021,1,7,7,24,-9,3,77.7
2021,1,8,7,24,-5,3,77.7
2021,1,9,3,24,-1,2,77.7
2021,1,10,3,24,-1,2,77.7
2021,1,11,3,24,0,2,77.7
2021,1,12,3,24,2,2,77.7
2021,1,13,3,24,3,2,77.7
2021,1,14,3,24,1,2,77.7
2021,1,15,13,24,-2,5,77.7
2021,1,16,13,24,-2,5,77.7
2021,1,17,13,24,-3,5,77.7
2021,1,18,7,24,-2,3,77.7
2021,1,19,7,24,0,3,77.7
2021,1,20,7,24,-2,3,77.7
2021,1,21,7,24,-7,3,77.7
2021,1,22,7,24,-7,3,77.7
2021,1,23,7,24,-7,3,77.7
2021,2,0,3,17,-5,2,78.8
2021,2,1,3,17,-5,2,78.8
2021,2,2,3,17,-4,2,78.8
2021,2,3,0,17,-4,0,78.8
2021,2,4,0,17,-1,0,78.8
2021,2,5,0,17,1,0,78.8
2021,2,6,0,17,2,0,78.8
2021,2,7,0,17,4,0,78.8
2021,2,8,0,17,5,0,78.8
2021,2,9,3,17,4,2,78.8
2021,2,10,3,17,5,2,78.8
2021,2,11,3,17,8,2,78.8
2021,2,12,0,17,9,0,78.8
2021,2,13,0,17,8,0,78.8
2021,2,14,0,17,7,0,78.8
2021,2,15,0,17,5,0,78.8
2021,2,16,0,17,3,0,78.8
2021,2,17,0,17,3,0,78.8
2021,2,18,0,17,3,0,78.8
2021,2,19,0,17,3,0,78.8
2021,2,20,0,17,6,0,78.8
2021,2,21,0,17,2,0,78.8
2021,2,22,0,17,2,0,78.8
2021,2,23,0,17,2,0,78.8
2021,3,0,0,0,2,0,77.8
2021,3,1,0,0,4,0,77.8
2021,3,2,0,0,6,0,77.8
2021,3,3,0,0,6,0,77.8
2021,3,4,0,0,5,0,77.8
2021,3,5,0,0,5,0,77.8
2021,3,6,0,0,4,0,77.8
2021,3,7,0,0,2,0,77.8
2021,3,8,0,0,3,0,77.8
2021,3,9,0,0,3,0,77.8
2021,3,10,0,0,4,0,77.8
2021,3,11,0,0,3,0,77.8
2021,3,12,3,0,2,2,77.8
2021,3,13,3,0,2,2,77.8
2021,3,14,3,0,5,2,77.8
2021,3,15,3,0,8,2,77.8
2021,3,16,3,0,8,2,77.8
2021,3,17,3,0,5,2,77.8
2021,3,18,0,0,6,0,77.8
2021,3,19,0,0,6,0,77.8
2021,3,20,0,0,4,0,77.8
2021,3,21,3,0,5,2,77.8
2021,3,22,3,0,5,2,77.8
2021,3,23,3,0,6,2,77.8
2021,4,0,3,0,7,2,75.0
2021,4,1,3,0,7,2,75.0
2021,4,2,3,0,4,2,75.0
2021,4,3,0,0,2,0,75.0
2021,4,4,0,0,3,0,75.0
2021,4,5,0,0,5,0,75.0
2021,4,6,3,0,5,2,75.0
2021,4,7,3,0,1,2,75.0
2021,4,8,3,0,-3,2,75.0
2021,4,9,7,0,-4,3,75.0
2021,4,10,7,0,-7,3,75.0
2021,4,11,7,0,-9,3,75.0
2021,4,12,3,0,-10,2,75.0
2021,4,13,3,0,-7,2,75.0
2021,4,14,3,0,-4,2,75.0
2021,4,15,3,0,-2,2,75.0
2021,4,16,3,0,2,2,75.0
2021,4,17,3,0,5,2,75.0
2021,4,18,3,0,6,2,75.0
2021,4,19,3,0,7,2,75.0
2021,4,20,3,0,11,2,75.0
2021,4,21,3,0,16,2,75.0
2021,4,22,3,0,20,2,75.0
2021,4,23,3,0,19,2,75.0
2021,5,0,17,0,14,6,72.6
2021,5,1,17,0,8,6,72.6
2021,5,2,17,0,3,6,72.6
2021,5,3,7,0,5,3,72.6
2021,5,4,7,0,6,3,72.6
2021,5,5,7,0,4,3,72.6
2021,5,6,10,0,1,4,72.6
2021,5,7,10,0,1,4,72.6
2021,5,8,10,0,5,4,72.6
2021,5,9,7,0,4,3,72.6
2021,5,10,7,0,5,3,72.6
2021,5,11,7,0,14,3,72.6
2021,5,12,40,0,18,27,72.6
2021,5,13,40,0,13,27,72.6
2021,5,14,40,0,-1,27,72.6
2021,5,15,27,0,-7,12,72.6
2021,5,16,27,0,-7,12,72.6
2021,5,17,27,0,0,12,72.6
2021,5,18,13,0,1,5,72.6
2021,5,19,13,0,3,5,72.6
2021,5,20,13,0,3,5,72.6
2021,5,21,37,0,6,22,72.6
2021,5,22,37,0,9,22,72.6
2021,5,23,37,0,9,22,72.6
2021,6,0,30,0,2,15,71.7
2021,6,1,30,0,0,15,71.7
2021,6,2,30,0,6,15,71.7
2021,6,3,30,0,6,15,71.7
2021,6,4,30,0,-3,15,71.7
2021,6,5,30,0,-4,15,71.7
2021,6,6,37,0,-3,22,71.7
2021,6,7,37,0,-7,22,71.7
2021,6,8,37,0,-16,22,71.7
2021,6,9,23,0,-13,9,71.7
2021,6,10,23,0,-11,9,71.7
2021,6,11,23,0,-9,9,71.7
2021,6,12,17,0,-15,6,71.7
2021,6,13,17,0,-22,6,71.7
2021,6,14,17,0,-24,6,71.7
2021,6,15,17,0,-22,6,71.7
2021,6,16,17,0,-17,6,71.7
2021,6,17,17,0,-13,6,71.7
2021,6,18,13,0,-11,5,71.7
2021,6,19,13,0,-12,5,71.7
2021,6,20,13,0,-11,5,71.7
2021,6,21,13,0,-10,5,71.7
2021,6,22,13,0,-7,5,71.7
2021,6,23,13,0,-3,5,71.7
2021,7,0,13,0,-4,5,72.2
2021,7,1,13,0,-6,5,72.2
2021,7,2,13,0,-7,5,72.2
2021,7,3,17,0,-9,6,72.2
2021,7,4,17,0,-8,6,72.2
2021,7,5,17,0,-7,6,72.2
2021,7,6,10,0,-10,4,72.2
2021,7,7,10,0,-13,4,72.2
2021,7,8,10,0,-12,4,72.2
2021,7,9,7,0,-10,3,72.2
2021,7,10,7,0,-9,3,72.2
2021,7,11,7,0,-10,3,72.2
2021,7,12,3,0,-13,2,72.2
2021,7,13,3,0,-15,2,72.2
2021,7,14,3,0,-12,2,72.2
2021,7,15,3,0,-8,2,72.2
2021,7,16,3,0,-7,2,72.2
2021,7,17,3,0,-6,2,72.2
2021,7,18,13,0,-6,5,72.2
2021,7,19,13,0,-7,5,72.2
2021,7,20,13,0,-8,5,72.2
2021,7,21,23,0,-3,9,72.2
2021,7,22,23,0,-1,9,72.2
2021,7,23,23,0,-1,9,72.2
2021,8,0,3,0,-2,2,72.8
2021,8,1,3,0,-3,2,72.8
2021,8,2,3,0,-2,2,72.8
2021,8,3,3,0,-2,2,72.8
2021,8,4,3,0,0,2,72.8
2021,8,5,3,0,-1,2,72.8
2021,8,6,3,0,-3,2,72.8
2021,8,7,3,0,-4,2,72.8
2021,8,8,3,0,-2,2,72.8
2021,8,9,3,0,1,2,72.8
